Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
National Oilwell Varco Inc.,NOV,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,1021860,""
Nektar Therapeutics,NKTR,reports,Health Care,Pharmaceuticals,"San Francisco, California",2018-03-19,906709,""
NetApp,NTAP,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",1999-06-25,1002047,""
Netflix Inc.,NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997
Newell Brands,NWL,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",1989-04-30,814453,""
Newmont Mining Corporation,NEM,reports,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921
News Corp. Class A,NWSA,reports,Communication Services,Publishing,"New York, New York",2013-08-01,1564708,""
News Corp. Class B,NWS,reports,Communication Services,Publishing,"New York, New York",2015-09-18,1564708,""
NextEra Energy,NEE,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,""
Nielsen Holdings,NLSN,reports,Industrials,Research & Consulting Services,"New York, New York",2013-07-09,1492633,""
Nike,NKE,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,""
NiSource Inc.,NI,reports,Utilities,Multi-Utilities,"Merrillville, Indiana","",1111711,1912
Noble Energy Inc,NBL,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007-10-08,72207,""
Nordstrom,JWN,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",1986-08-31,72333,""
Norfolk Southern Corp.,NSC,reports,Industrials,Railroads,"Norfolk, Virginia","",702165,1881/1894 (1980)
Northern Trust Corp.,NTRS,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois","",73124,1889
Northrop Grumman Corp.,NOC,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421,""
Norwegian Cruise Line,NCLH,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,""
NRG Energy,NRG,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,1013871,""
Nucor Corp.,NUE,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,""
Nvidia Corporation,NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,""
O'Reilly Automotive,ORLY,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173,""
Occidental Petroleum,OXY,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1982-12-31,797468,""
Omnicom Group,OMC,reports,Communication Services,Advertising,"New York, New York","",29989,1986
ONEOK,OKE,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,""
Oracle Corp.,ORCL,reports,Information Technology,Application Software,"Redwood Shores, California",1989-08-31,1341439,""
PACCAR Inc.,PCAR,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362,""
Packaging Corporation of America,PKG,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,75677,""
Parker-Hannifin,PH,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334,""
Paychex Inc.,PAYX,reports,Information Technology,Internet Software & Services,"Penfield, New York","",723531,1971
PayPal,PYPL,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,""
Pentair plc,PNR,reports,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,77360,""
People's United Financial,PBCT,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1378946,""
PepsiCo Inc.,PEP,reports,Consumer Staples,Soft Drinks,"Purchase, New York","",77476,1898
PerkinElmer,PKI,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,""
Perrigo,PRGO,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,1585364,""
Pfizer Inc.,PFE,reports,Health Care,Pharmaceuticals,"New York, New York","",78003,1849
Philip Morris International,PM,reports,Consumer Staples,Tobacco,"New York, New York",2008-03-31,1413329,""
Phillips 66,PSX,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,""
Pinnacle West Capital,PNW,reports,Utilities,Multi-Utilities,"Phoenix, Arizona","",764622,1985
Pioneer Natural Resources,PXD,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357,""
PNC Financial Services,PNC,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,""
Polo Ralph Lauren Corp.,RL,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,1037038,""
PPG Industries,PPG,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania","",79879,1883
PPL Corp.,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania","",922224,""
Principal Financial Group,PFG,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,""
Procter & Gamble,PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio","",80424,1837
Progressive Corp.,PGR,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,""
Prologis,PLD,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,""
Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,""
Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey","",788784,""
Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311,""
Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,""
PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15,78239,""
Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778,""
Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,""
QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California","",804328,1985
Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",2002-12-12,1022079,""
Raymond James Financial Inc.,RJF,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,""
Raytheon Co.,RTN,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts","",1047122,1922
Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,""
Red Hat Inc.,RHT,reports,Information Technology,Systems Software,"Raleigh, North Carolina",2009-07-27,1087423,""
Regency Centers Corporation,REG,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,""
Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,""
Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,""
Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,""
ResMed,RMD,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,""
Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213,""
Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin","",1024478,""
Rollins Inc.,ROL,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839,""
Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,882835,""
Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009-12-21,745732,""
Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,""
Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",2008-09-15,1108524,""
SBA Communications,SBAC,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1034054,""
Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926
Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,""
Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey","",1012100,""
Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California","",1032208,""
Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866
Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,""
Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127,""
SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",2015-03-20,1040971,""
Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,91440,""
Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia","",92122,""
Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01,92380,""
"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York","",64040,""
Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,93556,""
Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington","",829224,1971
State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts","",93751,""
Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,""
SunTrust Banks,STI,reports,Financials,Regional Banks,"Atlanta, Georgia",1988-05-31,750556,""
SVB Financial,SIVB,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19,719739,""
Symantec Corp.,SYMC,reports,Information Technology,Application Software,"Mountain View, California",2003-03-25,849399,""
Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,""
Synopsys Inc.,SNPS,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16,883241,""
Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,""
T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland","",1113169,1937
Take-Two Interactive,TTWO,reports,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19,946581,""
"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York","",1116132,2017
Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,""
TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,1385157,""
TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009-06-05,1681459,""
Teleflex Inc,TFX,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,96943,1943
Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas","",97476,1930
Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,""
Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts","",97745,2006
Tiffany & Co.,TIF,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000-06-21,98246,""
"Twitter, Inc.",TWTR,reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,1418091,""
TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,""
Torchmark Corp.,TMK,reports,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,""
Total System Services,TSS,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",2008-01-02,721683,""
Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365,""
TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,""
The Travelers Companies Inc.,TRV,reports,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21,86312,""
TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",2011-12-21,1526520,""
Twenty-First Century Fox Class A,FOXA,reports,Communication Services,Movies & Entertainment,"New York, New York",2013-07-01,1308161,""
Twenty-First Century Fox Class B,FOX,reports,Communication Services,Movies & Entertainment,"New York, New York",2015-09-18,1308161,""
Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas","",100493,""
UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208,""
Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568,""
U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota","",36104,1968
Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-03-25,1336917,""
Under Armour Class C,UA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1336917,""
Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska","",100885,""
United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517,""
United Health Group Inc.,UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,""
United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1090727,""
"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,""
United Technologies,UTX,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut","",101829,""
"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,""
Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,5513,""
V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979-06-30,103379,""
Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas","",1035002,1980
Varian Medical Systems,VAR,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,203527,""
Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,""
Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1014473,""
Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,""
Verizon Communications,VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,""
Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,""
Viacom Inc.,VIAB,reports,Communication Services,Movies & Entertainment,"New York, New York","",1339947,""
Visa Inc.,V,reports,Financials,Credit Card Services,"San Francisco, California",2009-12-21,1403161,""
Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York","",899689,""
Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,""
Wabtec Corporation,WAB,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2019-02-27,943452,""
Walmart,WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,""
Walgreens Boots Alliance,WBA,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,""
The Walt Disney Company,DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1001039,""
Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas","",823768,1968
Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts","",1000697,1958
Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,""
WellCare,WCG,reports,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,""
Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,""
Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,""
Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009-07-01,106040,""
Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado","",1365135,1851
WestRock,WRK,reports,Materials,Paper Packaging,"Richmond, Virginia","",1636023,""
Weyerhaeuser,WY,reports,Materials,Lumber & Wood Production,"Federal Way, Washington","",106535,""
Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan","",106640,1911
Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,""
Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,""
Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922,""
Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota","",72903,1909
Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut","",108772,1906
Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",1999-11-08,743988,""
Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,1524472,""
Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,""
Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,""
Zions Bancorp,ZION,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380,""
Zoetis,ZTS,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21,1555280,""
